id,amount,dst,src,token,tokenId,transactionId,transactionLogId,workspaceId,processed,createdAt,updatedAt
42349538,6666000000000000000000,0x0bf18f89ad3ebc9047c22d9316dec23235e18a87,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88737453,107219108,7354,true,"2024-04-20T03:25:23.116Z","2024-04-20T03:25:44.534Z"
44184288,66666666000000000000000000,0x006706b3aced8f9c82f45055521b875be51da06f,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,90924392,109556432,7354,true,"2024-05-02T15:21:01.720Z","2024-05-02T19:29:40.355Z"
42345433,66666666666666666666666666666666666666666666666666,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x0000000000000000000000000000000000000000,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88730706,107207577,7354,true,"2024-04-19T08:02:52.522Z","2024-04-19T08:02:57.164Z"
42345410,666666666666,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x0000000000000000000000000000000000000000,0xd40055663c115adaf1c593f4273a7b32006c431b,null,88730664,107207538,7354,true,"2024-04-19T07:58:20.295Z","2024-04-19T07:58:24.769Z"
42345434,100000000000000000000,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88730719,107207595,7354,true,"2024-04-19T08:06:21.383Z","2024-04-19T08:06:28.425Z"
42345441,1000000000000000000000,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88730792,107207628,7354,true,"2024-04-19T08:20:37.126Z","2024-04-19T08:20:46.063Z"
42345510,66666666666666665566000000000000000000,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88730984,107207799,7354,true,"2024-04-19T08:49:47.979Z","2024-04-19T08:49:54.227Z"
42345512,666666666666666666,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88730991,107207802,7354,true,"2024-04-19T08:51:09.300Z","2024-04-19T08:51:18.239Z"
42345521,600000000000000000000000000000000000000,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88731048,107207838,7354,true,"2024-04-19T08:58:46.108Z","2024-04-19T08:58:54.599Z"
42345525,60000000000000000000000000000000000000000000000000,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0x73d53c0e08baa93362c4825b836dbce45855abf4,null,88731083,107207864,7354,true,"2024-04-19T09:01:53.183Z","2024-04-19T09:02:01.756Z"
